artistID,artistName,birthplace,period,artType
27294005,"Brown Foundation, Inc., The",c. 1515,1501 to 1550,
60295434,"Benedict, Ruth B., Dr.",c. 1310,1300 to 1400,
14868971,"Booth, John Lord, Mr. and Mrs.",c. 1310,1300 to 1400,
21037682,"Weber, John C., Dr. and Mrs.",c. 1260/1280,before 1300,
73243796,"Curran, Catherine G., Mrs.",c. 1480,1401 to 1500,
83711634,"Ganz, Jr., Julian, Mr. and Mrs.",c. 1475,1401 to 1500,
92025660,"Alexander, Francis",c. 1475/1479,1401 to 1500,
97725984,Mars Foundation,c. 1475,1401 to 1500,
34975634,Private Collection c/o Josefowitz,c. 1492/1495,1401 to 1500,
46549305,"Kahn, Harry, Mr. and Mrs.",c. 1555,1551 to 1600,
83682902,"McNeil, Jr., Robert L., Mr. and Mrs.",late 16th or early 17th century,1501 to 1550,
46714632,"Davidson, John B., Mr.",1540/1550,1501 to 1550,
98650305,"Millard, Mark Jacob, Mrs.",1520/1525,1501 to 1550,
85253784,"Nasher, Raymond D.",c. 1581/1582,1551 to 1600,
37910500,"Allen, Luther",c. 1434/1436,1401 to 1500,
38774555,"Rosenwald, Lessing J., Mrs.",c. 1450,1401 to 1500,
13642803,"Gray, Edward R., Mrs.",after 1479,1401 to 1500,
37736258,"Wolf, Emile E.",c. 1470/1475,1401 to 1500,
83254424,"Kirstein, Richard A., Mr. and Mrs.",c. 1510,1501 to 1550,
42062167,"Atlas, Martin, Mr. and Mrs.",c. 1460,1401 to 1500,
30807011,"Coberly, Jr., William B., Mrs.",c. 1475,1401 to 1500,
17755764,"Guest Services, Inc.",c. 1515/1518,1501 to 1550,
38029712,"Smith, Gerard C., The Honorable and Mrs.",1621,1601 to 1650,
53481221,"Levin, Janice H., Mrs.",1621,1601 to 1650,
62477036,"Altdorfer, Albrecht",c. 1623,1601 to 1650,
34967067,"Carter, Edward W., Mrs.",1632,1601 to 1650,
19955349,"Epstein, Lionel C., Mr.",c. 1653,1651 to 1700,
57017830,"Rockefeller, Sr., David, Mr.",1569,1551 to 1600,
72352582,"Smith, Benjamin B., Mr. and Mrs.",c. 1669,1651 to 1700,
75996565,"Brown, J. Carter, Mr. and Mrs.",c. 1925,1901 to 1925,
88362225,"Graham, Katharine, Mrs.",c. 1925,1901 to 1925,
58429387,"Murphy, Franklin D., Dr. and Mrs.",1658/1660,1651 to 1700,
29632588,"Ames, Ezra",c. 1660,1651 to 1700,
82540849,"Zelman, Julius L., Mr. and Mrs.",c. 1658,1651 to 1700,
94936387,"Roosevelt, Cornelius Van Schaak, Mr.",1655/1660,1651 to 1700,
56358251,"Fisher, Donald G., Mr. and Mrs.",1668,1651 to 1700,
54702420,"Dawson, Carley R., Mrs.",1663,1651 to 1700,
71131848,"Ames, Joseph Alexander",1665,1651 to 1700,
49225804,"Emmet, Anne Eustis, Mrs.",c. 1655,1651 to 1700,
69744140,"Conover, Catherine Mellon, Ms.",probably 1538,1501 to 1550,
54771638,"Hitchcock, Thomas, Mrs.",c. 1527/1528 or c. 1532/1534,1501 to 1550,
27030949,"Horowitz, Raymond J., Mr. and Mrs.",c. 1507,1501 to 1550,
24183781,"Laughlin, Alexander M., Mr. and Mrs.",1633,1601 to 1650,
49044829,Andrea di Bartolo,c. 1636/1638,1601 to 1650,
86524179,"Neumann, Morton G., Mr. and Mrs.",1645,1601 to 1650,
38060789,"Rash, Dillman A., General",1646/1648,1601 to 1650,
67418931,"Ryskamp, Charles A., Dr.",1646/1648,1601 to 1650,
94137352,"Scaife, Richard M., Mr. and Mrs.",1659,1651 to 1700,
37349587,"Vogel, William D., Mrs.",1637,1601 to 1650,
48857838,"Walton, John F., Mrs.",probably begun 1646/1648 and completed 1651,1601 to 1650,
58511293,"Weisman, Marcia S., Mrs.",1656,1651 to 1700,
53824571,"Angelico, Fra",1664,1651 to 1700,
35541332,"Lauder, Ronald S., The Honorable and Mrs.",c. 1660,1651 to 1700,
53586227,"Tremaine, Sr., Burton G., Mr. and Mrs.",1637,1601 to 1650,
94031816,"Whitney, John Hay, Mrs.",1655,1651 to 1700,
71351673,"Engel, Solton, Mrs.",c. 1650,1601 to 1650,
76990854,"Hatch, Jr., John Davis, Mr.",c. 1640/1650,1601 to 1650,
21098426,"Heinemann, Rudolf J., Mrs.",c. 1650,1601 to 1650,
72739190,"Josten, Peter W., Mr.",c. 1603/1614,1601 to 1650,
61631616,"Spector, Stephen, Mr.",1600/1614,1551 to 1600,
34197808,"Kainen, Jacob, Mr. and Mrs.",c. 1786,1776 to 1800,
63518200,"Vershbow, Arthur E., Mr.",c. 1799/1800,1776 to 1800,
25071362,"Harris, Charles U., The Very Reverend and Mrs.",c. 1799/1800,1776 to 1800,
40583847,"Furness, Thomas F., Mrs.",c. 1806/1811,1801 to 1825,
41803261,"Heinz III, H. John, The Honorable and Mrs.",c. 1730,1726 to 1750,
68586488,"Kress, Rush H., Mrs.",probably 1737,1726 to 1750,
95733227,"Bass, Robert M., Mr. and Mrs.",after 1740,1726 to 1750,
14046047,"Simon, Lucille Ellis, Mrs.",1785-1787,1776 to 1800,
40580179,"Meyerhoff, Robert E.",1783,1776 to 1800,
11293283,Antonello da Messina,c. 1770/1773,1751 to 1775,
88927237,"Colt, H. Dunscombe, Mrs.",1777-1779,1776 to 1800,
13440617,"Aspertini, Amico",1802,1801 to 1825,
60606537,"Audubon, John James",1780-1782,1776 to 1800,
69226350,"Schwartz, Seymour, Mr. and Mrs.",1781,1776 to 1800,
58216954,"Fraad, Jr., Daniel J., Mr. and Mrs.",1786,1776 to 1800,
71765109,"Audubon, John Woodhouse",c. 1778,1776 to 1800,
70858658,"Avercamp, Hendrick",c. 1793,1776 to 1800,
98078290,"Eichholz, Robert B., Mrs.",1796/1811,1776 to 1800,
33063218,Bachiacca,"c. 1793, with additions c. 1800",1776 to 1800,
28150160,"Bacon, Francis",1781-1783,1776 to 1800,
51351619,"Badger, Joseph",1782-1784,1776 to 1800,
67100274,"Abbott, Gordon, Mr.",1778,1776 to 1800,
68991972,"Achelis, Elisabeth, Miss",c. 1783/1784,1776 to 1800,
92827965,"Achilles, Theodore C., Mr.",1820,1801 to 1825,
23753060,"Adams, George Matthew, Mrs.",1827,1826 to 1850,
30530869,"Adams, George Matthew",1844,1826 to 1850,
82227412,"Adams, William Howard, Mr. and Mrs.",1795,1776 to 1800,
18189252,"Aldworth, Edward K., Mrs.",c.1420/1425,1401 to 1500,Statue
10889055,"Alexander, III, S. Thomas",1455/1460,1401 to 1500,Bust
17250476,"Allen, W.G. Russell, Mr.",c. 1860,1851 to 1875,Relief
67786293,"Alsberg, Elsie, Mrs.",probably 1855/1860,1851 to 1875,Relief
63522561,American Curator Fund (Paul Anbinder),1460s or later,1401 to 1500,Relief
27091455,AFL-CIO,1475/1480,1401 to 1500,Relief
34761732,"Ames, Winslow, Mr. and Mrs.",1475/1480,1401 to 1500,Relief
28742078,"Anbinder, Paul, Mr. and Mrs.",c. 1475 or later,1401 to 1500,Bust
90254085,"Arnold, Larry Dale, Mr.",early 1490s,1401 to 1500,Relief
20146202,"Arp-Hagenbach, Marguerite, Madame",early 1490s,1401 to 1500,Relief
33561854,"Art Center, Inc.",c. 1485,1401 to 1500,Relief
58088285,Artemis Fine Arts Inc.,1480/1490,1401 to 1500,Relief
61002073,"Aschheim, Joseph, Dr. and Mrs.",mid 19th century,1801 to 1825,Relief
32673536,Atlas Foundation,c. 1475,1401 to 1500,Statuette
75996844,Avalon Foundation,mid 19th century,1801 to 1825,Relief
74273635,"Bacon, Catherine Lilly, Dr.",c. 1475/1478,1401 to 1500,Antiquities
45465730,"Baird, Charles, Mrs.",c. 1480,1401 to 1500,Statue
42015177,"Barbour, Edna L., Miss",c. 1860,1851 to 1875,Bust
84495590,"Baron, David",c. 1490,1401 to 1500,Bust
94805758,"Baruch, Jacques Z., Mr. and Mrs.",c. 1780/c. 1850,1776 to 1800,Statue
41602563,"Batchelder, George, Mrs.",c. 1580/1590,1551 to 1600,Statue
11758404,"Bay Foundation, Inc., Charles Ulrick and Josephine",1580/1600,1551 to 1600,Statue
15429905,"Beale, Williams, Mrs.",c. 1442/1445,1401 to 1500,
43020712,"Beatty, Jr., John Wesley",c. 1380/1390,1300 to 1400,
99143195,"Beckmann, Max, Mrs.",c. 1380/1390,1300 to 1400,
97060392,"Bell, Daniel, Professor",c. 1734,1726 to 1750,
33674530,"Belden, James O.",c. 1490,1401 to 1500,
13165728,"Belin Fund, Ferdinand Lammot",c. 1525,1501 to 1550,
65830584,"Benedict, William, Mr. and Mrs.",c. 1400/1405,1300 to 1400,
44574498,"Benton, William, The Honorable",c. 1400/1405,1300 to 1400,
14887449,"Bessey, Earle E., Mrs.",c. 1400/1405,1300 to 1400,
87168269,"Beveridge, Albert J., Mrs.",c. 1445/1450,1401 to 1500,
86128368,"Bick, Malcolm W., Dr. and Mrs.",c. 1690/1705,1651 to 1700,
18310434,"Bick, Malcolm W., Dr.",c. 1744,1726 to 1750,
89319710,"Binney, Horace, Dr.",c. 1744,1726 to 1750,
18522965,"Bismarck, Mona, Countess",1739,1726 to 1750,
10667689,"Blair, William Draper, Mr. and Mrs.",1733,1726 to 1750,
39446466,"Bliss, Robert Woods, Mr. and Mrs.",1733,1726 to 1750,
19835673,"Blitzer, Charles, Dr.",mid 16th century,1501 to 1550,
19891252,"Boerner, C.G., Mr.",c. 1445/1450,1401 to 1500,
48549627,"Baer, George",1510/1515,1501 to 1550,
84249349,"Bogert, Walter L., Mr.",1618/1628,1601 to 1650,
49472188,"Bokor, Leslie, Ms.",c. 1620s,1601 to 1650,
46315236,"Booth, Ralph Harman, Mrs.",before c. 1762,1751 to 1775,
10659733,"Bradley, Otis T., Mr.",after 1720,1701 to 1725,
40365739,"Braniff Airways, Inc., Employees of",1760/1762,1751 to 1775,
18227996,"Broadbent, Sam R., Mr. and Mrs.",1760/1762,1751 to 1775,
38826731,"Brown, Harrison, Dr. and Mrs.",c. 1445/1450,1401 to 1500,
63842055,"Brown, J. Carter, Mr.",c. 1775-1780,1751 to 1775,
34107938,"Brown, Robert, Mr.",c. 1560,1551 to 1600,
70689942,"Bruce, Ailsa Mellon, Mrs.",c. 1455/1470,1401 to 1500,
54045261,"Bruce Fund, Ailsa Mellon",1522,1501 to 1550,
29510907,"Bry, Michel de, Mr.",c. 1475,1401 to 1500,
12434763,"Bullard, Ellen T., Miss",c. 1530,1501 to 1550,
22183465,"Busiel Fund, Syma",probably 1555/1560,1551 to 1600,
86436667,"Butler, Charles Terry, Dr.",1782 or after,1776 to 1800,
57532227,"Cabot, Lewis P., Mr. and Mrs.",c. 1335,1300 to 1400,
57854468,"Carey, Andrew G., Mrs.",1730s,1726 to 1750,
71310137,"Carey, June Provines",c. 1445/1450,1401 to 1500,
23159134,"Carmean Jr., E.A.",1308-1311,1300 to 1400,
94337861,"Carnegie, William H., Mrs.",c. 1505/1515,1501 to 1550,
52513988,"Carstairs, Charles S., Mrs.",c. 1340/1345,1300 to 1400,
85342737,"Carville, Elizabeth O., Miss",c. 1520,1501 to 1550,
27541359,"Chadbourne, E. C., Mrs.",c. 1505,1501 to 1550,
43418414,"Chahine, Pierre, Mr.",c. 1515,1501 to 1550,
43480952,"Chaikin, Nathan, Mr.",c. 1470/1475,1401 to 1500,
69904686,"Chamberlain, Marian Corbett, Ms.",1510/1515,1501 to 1550,
88690253,"Chapman, Gilbert W., Mrs.",1505,1501 to 1550,
55817849,Charlottesville-Albemarle Foundation,c. 1610/1620,1601 to 1650,
42180417,"Clark, Addie Burr, Mrs.",probably c. 1500,1401 to 1500,
76223838,"Clark, Stephen Carlton",probably c. 1600,1551 to 1600,
24227436,"Clement, Alice W., Ms.",c. 1500/1505,1401 to 1500,
63450643,"Clowes, George H. Alexander, Dr. and Mrs.",c. 1480,1401 to 1500,
74954572,"Coe, William Robertson",c. 1476/1480,1401 to 1500,
93412223,Coe Foundation,c. 1594,1551 to 1600,
14571321,"Colin, Ralph F., Mr. and Mrs.",c. 1490,1401 to 1500,
60914308,Collectors Committee,c. 1620/1630,1601 to 1650,
69193685,"Connors, Philip, Mrs.",c. 1390,1300 to 1400,
69222177,"Cooke, Hereward Lester, Mrs.",c. 1515/1520,1501 to 1550,
41018533,"Corbett, Edward, Mrs.",c. 1475,1401 to 1500,
35925984,"Crane, Winthrop Murray, Mrs.",c. 1500,1401 to 1500,
95386169,"Crockett, William D., Mr.",c. 1330,1300 to 1400,
55480871,"Cromwell Fund, William Nelson",1505,1501 to 1550,
42264124,"Crowninshield, Frank, Estate of",c. 1445/1450,1401 to 1500,
18935083,"Baj, Enrico",c. 1474/1477,1401 to 1500,
55456216,"D'Albert, Peter, Mrs.",c. 1474/1477,1401 to 1500,
65275619,"Dale, Chester",c. 1445/1450,1401 to 1500,
47752093,"Dale Fund, Chester",c. 1435,1401 to 1500,
74582575,"Dame, Leslie, Ms.",c. 1475/1480,1401 to 1500,
11487980,"Davis, Dwight Filley, Mrs.",c. 1430,1401 to 1500,
18441419,"Davison, George Willets, Mr. and Mrs.",c. 1430,1401 to 1500,
33157942,"Delano, Frederic A.",c. 1473/1474,1401 to 1500,
25813406,"Denny, Ludwell, Mrs.",c. 1473/1474,1401 to 1500,
67555938,"Dexter, Gordon, Mrs.",c. 1475/1480,1401 to 1500,
49766640,"Dickerman, Watson B., Mrs.",c. 1540,1501 to 1550,
71687092,"Dieke, Gerhard Heinrich, Mrs.",c. 1580s,1551 to 1600,
83649473,"Dimick, John, Mr.",c. 1435/1440,1401 to 1500,
33548810,"Dodge, Alice L.C., Miss",c. 1520,1501 to 1550,
31393037,"Gerry, Edith Stuyvesant",c. 1500,1401 to 1500,
34356554,"Donner, Robert, Mr.",c. 1420,1401 to 1500,
65116414,"Draper, Charles D., Mrs.",c. 1310/1315,1300 to 1400,
76141093,"Dreskin, E. Arthur, Dr. and Mrs.",c. 1520,1501 to 1550,
62526118,"Drewry, Cooper R., Mrs.",c. 1510/1515,1501 to 1550,
29242843,"Pratt, John Lockwood, Mrs.",c. 1520/1540,1501 to 1550,
61511235,"du Pont, Jr., Ernest, Mr. and Mrs.",c. 1450,1401 to 1500,
73356379,"Eastman, John L., Mr.",c. 1360,1300 to 1400,
89479877,"Edinburg, Dorothy Braude, Ms.",c. 1360,1300 to 1400,
31166759,"Efron, Samuel, Mr.",c. 1360,1300 to 1400,
14925586,"Egnal, Michael H., Mrs.",c. 1490/1500,1401 to 1500,
58597926,"Eichholz, Robert B., Mr. and Mrs.",c. 1460/1470,1401 to 1500,
83613863,"Einstein, Lewis D.",c. 1490,1401 to 1500,
46105476,"Endicott, Jr., William Crowninshield, Mrs.",c. 1455/1460,1401 to 1500,
25319420,"Epstein, Jacob, Estate of Sir",c. 1505/1510,1501 to 1550,
32620671,Epstein Family Fund,1425,1401 to 1500,
64121855,"Eyerly, Frank R., Mr. and Mrs.",c. 1468,1401 to 1500,
21339269,"Fahnestock, Snowdon A., Mrs.",c. 1460/1470,1401 to 1500,
27818535,"Feffer, Henry L., Dr. and Mrs.",probably c. 1445,1401 to 1500,
28613881,"Feininger, Lyonel, Mrs.",c. 1490/1500,1401 to 1500,
39939034,"Feld, Stuart P., Mr. and Mrs.",c. 1480,1401 to 1500,
45368583,"Feldman, Sidney M., Mr. and Mrs.",1523,1501 to 1550,
99602188,"Fiedler, Barbara, Ms.",1505/1510,1501 to 1550,
15880724,"Finley, David Edward",c. 1440,1401 to 1500,
84566894,"Finley Fund, David Edward and Margaret Eustis",probably c. 1325,1300 to 1400,
27568864,"Fischer, John George, Mr.",c. 1550,1501 to 1550,
83158249,"Fleming, John F., Mr.",c. 1430/1435,1401 to 1500,
46089724,"Fletcher, Henry Prather, Mr.",c. 1495/1500,1401 to 1500,
89438568,Ford Foundation,c. 1465/1470,1401 to 1500,
30772963,"Fowles, Edward, Mrs.",c. 1505,1501 to 1550,
37147666,"Edwards, Jr., Samuel Arlent",c. 1476,1401 to 1500,
72238446,"Frankfort, Enriqueta, Ms.",probably 1491,1401 to 1500,
42363337,"Freedman, Joanne, Mrs.",c. 1625/1675,1601 to 1650,Relief
36140755,"Freeman, William C.",1470/1480,1401 to 1500,Relief
47152497,"Fuller, Samuel L.",1470/1480,1401 to 1500,Relief
76994917,"Frelinghuysen, Peter H.B., Mrs.",1475/1485,1401 to 1500,Bust
79228395,French Navy,c. 1475/1478,1401 to 1500,Relief
51394640,"Friend, Jr., Albert M.",c. 1460,1401 to 1500,Relief
72406922,"Frink, Angelika Wertheim, Mrs.",c. 1900/1925 (figure); c. 1550 (framing garland),1501 to 1550,Relief
75680731,"Fry, Clements Collard, Dr.",c. 1475/1485,1401 to 1500,Relief
52452570,"Fuller Foundation, Inc.",1490s,1401 to 1500,Relief
96249428,"Fullinwider, Edwin Gaines, Admiral and Mrs.",probably c. 1515/1520,1501 to 1550,
70708704,"Futoran, Robert J., Dr. and Mrs.",probably c. 1515/1520,1501 to 1550,
15795295,"Kilmer, Kenton, Mrs.",probably c. 1515/1520,1501 to 1550,
74212839,"Gallatin, Albert Eugene",c. 1540,1501 to 1550,
20660974,"Gallatin, R. Horace",c. 1480/1485,1401 to 1500,
63872357,"Gallois, John E., Mrs.",c. 1508,1501 to 1550,
51531158,"Garbisch, Edgar William, Mr. and Mrs.",c. 1505,1501 to 1550,
65222996,"Gardner, Martin",c. 1495,1401 to 1500,
39942918,"Kelly, George P., Mr.",c. 1475/1500,1401 to 1500,
71390303,"Gebel, Paul, Mr. and Mrs.",c. 1489/1490,1401 to 1500,
46161334,Gemini G.E.L.,c. 1750,1726 to 1750,
49140590,"Gensburg, David",c. 1495/1505,1401 to 1500,
87687297,"Georgia Museum of Art, Friends of",1530/1540,1501 to 1550,
35461945,German People,c. 1527/1528,1501 to 1550,
95936826,"Giles, Robert, Mrs.",c. 1520,1501 to 1550,
59487873,"Glackens, Ira, Mr. and Mrs.",1896,1876 to 1900,
13200929,"Goldschmidt, Inc., Lucien",1896,1876 to 1900,
20986481,"Graves, Olga Roosevelt",c. 1896,1876 to 1900,
85981194,"Green, George Benjamin, Dr. and Mrs.",1896,1876 to 1900,
86207754,"Green, Theodore Francis, The Hon.",c. 1896,1876 to 1900,
97099661,"Gumbel, Irving, Mrs.",c. 1896,1876 to 1900,
39560674,"Hall, Esq., Michael",c. 1896,1876 to 1900,
41336352,"Hallstrom, E.J.L.",c. 1896,1876 to 1900,
44237966,"Hammond, Charles E., Colonel",1897,1876 to 1900,
11391018,"Handy, Margaret I., Dr.",c. 1896,1876 to 1900,
28177745,"Hanson, Elizabeth Donner, Ms.",c. 1896,1876 to 1900,
27969350,"Harriman, W. Averell, The Honorable",c. 1896,1876 to 1900,
69134508,"Harriman Foundation, W. Averell",1898,1876 to 1900,
76102560,"Harrison, Leland, Mrs.",c. 1898,1876 to 1900,
82871424,"Haslem Gallery, Jane",c. 1898,1876 to 1900,
64110559,"Hassett, Jr., William T.",c. 1898,1876 to 1900,
27727961,"Hatch, Francis Whiting Sr. Mr. and Mrs.",c. 1898,1876 to 1900,
65971174,"Baldung Grien, Hans",c. 1898,1876 to 1900,
52721155,"Havemeyer, Horace",c. 1898,1876 to 1900,
90286232,"Havemeyer, Horace, Mrs.",c. 1898,1876 to 1900,
91885948,"Hazen Foundation, Inc., Joseph H.",1787,1776 to 1800,
84892058,"Heintzelman, Arthur William, Mrs.",1789-1796,1776 to 1800,
15889781,"Held, Julius S., Professor",1820,1801 to 1825,
23154648,Heller Foundation,1793/1794,1776 to 1800,
21672500,"Henschel, Charles R., Mrs.",1793/1794,1776 to 1800,
70927834,"Hill, John, Mr.",1795,1776 to 1800,
49700279,"Hofer, Myron A.",1829,1826 to 1850,
20574984,"Hofer, Philip",c. 1806,1801 to 1825,
16597055,"Hogan, Martha, Ms.",1804/1805,1801 to 1825,
67698089,"Homans, Robert, Mrs.",1776,1776 to 1800,
35935825,"Horowitz, Vladimir, Maestro",c. 1770-1773,1751 to 1775,
90863394,"Horstick, Simon M., Mrs.",1626/1629,1601 to 1650,
15854125,"Hudson, Andrew, Mr.",c. 1635,1601 to 1650,
74441757,"Hutton, Barbara, Mrs.",probably 1618,1601 to 1650,
95750254,"Hyde, James Hazen",1672-1673,1651 to 1700,Statue
41300819,"International Art Foundation, Inc.",1672-1673,1651 to 1700,Statue
43839896,"Ipcar, Dahlov Zorach, Mrs.",c. 1650,1601 to 1650,
63411512,"Iselin, Ernest",c. 1860,1851 to 1875,Utilitarian Object
67159355,Istituto Nazionale per la Grafica,c. 1860,1851 to 1875,Utilitarian Object
29098455,"Jackson, Patrick T., Mr.",1500/1505,1401 to 1500,
69097432,"Jaffe, William B.",c. 1465,1401 to 1500,
63604885,"Davies, T.",c. 1465,1401 to 1500,
35273256,"Johnson, Oscar Doyle",c. 1503,1501 to 1550,
17763099,"Joseph, Rupert L.",before 1481,1401 to 1500,
71784066,"Joughin, Louis, Mr. and Mrs.",before 1481,1401 to 1500,
52786035,"Kahn, Otto H., Mrs.",before 1481,1401 to 1500,
18937555,"Kahn, Roger W.",c. 1475,1401 to 1500,
56612332,Kaiser Aluminum Fund,c. 1495,1401 to 1500,
45638868,"Kallir, Otto, Mrs.",after 1497,1401 to 1500,
82649509,"Kaplan, Jacob M., Mrs.",c. 1515/1520,1501 to 1550,
77747855,"Keck, Andrew S., Professor and Mrs.",c. 1505/1515,1501 to 1550,
80490902,"Keppel, David",c. 1505/1515,1501 to 1550,
59971686,"Kerr, Alice Hall, Miss",c. 1512/1513,1501 to 1550,
41034852,"Kirschen, Ivo, Mr.",c. 1512/1520,1501 to 1550,
84064251,"Kist, Jan Rie, Mr.",1470/1475,1401 to 1500,
67987026,"Kloman, Antony J. Trapnell, Mr.",c. 1507,1501 to 1550,
57613236,"Kloman, Antony J. Trapnell, Mr. and Mrs.",c. 1510,1501 to 1550,
71292314,"Bard, James",,1501 to 1550,
12700621,"Kuhn, Brenda",1513,1501 to 1550,
31015221,"Lafoon, Sidney K., Mr. and Mrs.",1518,1501 to 1550,
72786372,"Landau, David, Mr.",probably 1511,1501 to 1550,
97077897,"Lasker, Loula D., Miss",1510,1501 to 1550,
53253582,"Lasker Fund, Loula D.",1510,1501 to 1550,
50090480,"Latterman, Earl M., Mr. and Mrs.",1523,1501 to 1550,
66429826,"Lawrence, Frederic C., Rt. Rev.",probably c. 1496/1498,1401 to 1500,
37116293,"Lawrence, William, Children of The Rt. Rev.",1510/1511,1501 to 1550,
77227494,"Lawson, Sylvia Benson",c. 1504/1505,1501 to 1550,
52635057,"Le Bovit, Harry, Mr. and Mrs.",c. 1504,1501 to 1550,
62753106,"Lees, Joan A., Mrs.",c. 1503/1504,1501 to 1550,
48262038,"Lefferts, Halleck, Mrs.",c. 1502/1503,1501 to 1550,
88672799,"Lefferts, Halleck, Mr.",c. 1504/1505,1501 to 1550,
63712438,"Lehman, Adele Lewisohn, Mrs.",c. 1502/1504,1501 to 1550,
71549013,"Lehrer, Leonard, Mr. and Mrs.",c. 1504/1505,1501 to 1550,
43591764,"Nef, John Ulric, Mr. and Mrs.",c. 1501/1503,1501 to 1550,
72388156,"Lepman, Sara L., Mrs.",c. 1504/1505,1501 to 1550,
37663617,"Lesley, Parker, Mr.",1511,1501 to 1550,
51095934,"Leubsdorf, Karl, Mrs.",1518,1501 to 1550,
10340452,"Leubsdorf, Karl",c. 1497/1498,1401 to 1500,
46371129,"Levy Fund, Inc., Adele R.",c. 1496/1497,1401 to 1500,
73920581,"Levy, Benjamin E., Mrs.",c. 1496/1497,1401 to 1500,
93877987,"Lewin, Albert, Mr.",c. 1470/1475,1401 to 1500,
73069643,"Lewis, H.H. Walker, Mr.",c. 1480,1401 to 1500,
69443699,"Lewisohn, Margaret Seligman, Mrs.",c. 1480,1401 to 1500,
10556038,"Lewisohn, Sam A.",c. 1480,1401 to 1500,
97433103,"Schaeffer Galleries, Inc.",c. 1480,1401 to 1500,
26857070,"Light, Robert M., Mr.",c. 1480,1401 to 1500,
58271805,"Lindemann, Charles Lionel, Brigadier General",c. 1480,1401 to 1500,
39628861,"Lindt, Lotte Walter",c. 1480,1401 to 1500,
44259148,"Livingston, Louise Alida, Miss",c. 1480,1401 to 1500,
93439033,"Lodge, John Ellerton, Mrs.",c. 1480,1401 to 1500,
55527733,"Look, Earl H., Mr. and Mrs.",c. 1480,1401 to 1500,
34521079,"Lothrop, Francis B., Mrs.",c. 1480/1490,1401 to 1500,
53333347,"Lubritz, Ronald R., Dr. and Mrs.",c. 1470/1475,1401 to 1500,
76349252,"Lunde, Asbjorn R.",c. 1480,1401 to 1500,
80582768,"MacCrone Fund, Edward E.",c. 1480/1490,1401 to 1500,
85729684,"Macomb, Nannie R., Miss",c. 1480/1490,1401 to 1500,
48222648,"Macomb, Christina, Miss",c. 1513-1515,1501 to 1550,
39364799,"MacVeagh, Eames",1510,1501 to 1550,
33780084,"Magnuson, Paul B., Mrs.",c. 1510,1501 to 1550,
82704974,"Magriel, Paul",c. 1517-1520,1501 to 1550,
23781409,"Mahoney, Stephenson, Mrs.",c. 1513-1515,1501 to 1550,
24860153,"Maritime Administration, U.S. Dept. of Commerce",c. 1510/1520,1501 to 1550,
39658147,"Marock, Louise, Miss",c. 1505,1501 to 1550,
40406414,"Marriott, Maud, Lady",c. 1509,1501 to 1550,
38770474,"Barocci, Federico",1506,1501 to 1550,
24166716,Maryland Institute College of Art,1508,1501 to 1550,
28234944,"Mason, Jr., G. Grant",1508,1501 to 1550,
